абдикувати | абдикую | абдикував
навантажити | навантажу | навантажив
навантажувати | навантажую | навантажував
наварити | наварю | наварив
наварювати | наварюю | наварював
навезти | навезу | навіз
навербовувати | навербовую | навербовував
навербувати | навербую | навербував
наверзти | наверзу | наверз
навернути | наверну | навернув
наверстати | наверстаю | наверстав
наверствовувати | наверствовую | наверствовував
наверствувати | наверствую | наверствував
наверстувати | наверстую | наверстував
навертати | навертаю | навертав
навертіти | наверчу | навертів
навести | наведу | навів
навибивати | навибиваю | навибивав
навибирати | навибираю | навибирав
навивати | навиваю | навивав
навигадувати | навигадую | навигадував
навигравати | навиграю | навигравав
навидавати | навидаю | навидавав
навидовбувати | навидовбую | навидовбував
навидумувати | навидумую | навидумував
навикидати | навикидаю | навикидав
навикнути | навикну | навикнув
навиливати | навиливаю | навиливав
навинути | навину | навинув
навипускати | навипускаю | навипускав
навирізати | навирізаю | навирізав
навирішувати | навирішую | навирішував
навиробляти | навиробляю | навиробляв
нависати | нависаю | нависав
нависнути | нависну | навис
навити | нав'ю | навив
навишивати | навишиваю | навишивав
навівати | навіваю | навівав
навідати | навідаю | навідав
навідувати | навідую | навідував
навіженіти | навіженію | навіженів
навінути | - | навінув
навірчувати | навірчую | навірчував
навіряти | навіряю | навіряв
навісити | навішу | навісив
навісніти | навіснію | навіснів
навістити | навіщу | навістив
навішати | навішаю | навішав
навішувати | навішую | навішував
навіщати | навіщаю | навіщав
навіщувати | навіщую | навіщував
навіювати | навіюю | навіював
навіяти | навію | навіяв
наводити | наводжу | наводив
наводнити | наводню | наводнив
наводнювати | наводнюю | наводнював
навозити | навожу | навозив
наволікати | наволікаю | наволікав
наволокти | наволочу | наволік
наволочити | наволочу | наволочив
наворожити | наворожу | наворожив
наворожувати | наворожую | наворожував
наворсувати | наворсую | наворсував
навосковувати | навосковую | навосковував
навоскувати | навоскую | навоскував
навощити | навощу | навощив
навощувати | навощую | навощував
навоювати | навоюю | навоював
наврочити | наврочу | наврочив
наврочувати | наврочую | наврочував
навтикати | навтикаю | навтикав
навуглецьовувати | навуглецьовую | навуглецьовував
навуглецювати | навуглецюю | навуглецював
навуджувати | навуджую | навуджував
навудити | навуджу | навудив
навчати | навчаю | навчав
навчити | навчу | навчив
нав'ючити | нав'ючу | нав'ючив
нав'ючувати | нав'ючую | нав'ючував
нав'язати | нав'язаю | нав'язав
нав'язнути | нав'язну | нав'яз
нав'язувати | нав'язую | нав'язував
нав'ялити | нав'ялю | нав'ялив
нав'ялювати | нав'ялюю | нав'ялював
нагавкати | нагавкаю | нагавкав
нагадати | нагадаю | нагадав
нагадувати | нагадую | нагадував
нагазовувати | нагазовую | нагазовував
нагаласувати | нагаласую | нагаласував
наганяти | наганяю | наганяв
нагарбати | нагарбаю | нагарбав
нагартувати | нагартую | нагартував
нагатити | нагачу | нагатив
нагвинтити | нагвинчу | нагвинтив
нагвинчувати | нагвинчую | нагвинчував
нагидити | нагиджу | нагидив
нагинати | нагинаю | нагинав
нагладжувати | нагладжую | нагладжував
нагладити | нагладжу | нагладив
нагледіти | нагледжу | нагледів
наглити | наглю | наглив
наглузувати | наглузую | наглузував
наглушити | наглушу | наглушив
наглядати | наглядаю | наглядав
наглядіти | нагляджу | наглядів
наглянсовувати | наглянсовую | наглянсовував
наглянсувати | наглянсую | наглянсував
наглянути | нагляну | наглянув
нагнати | нажену | нагнав
нагнити | нагнию | нагнив
нагнітати | нагнітаю | нагнітав
нагнітити | нагнічу | нагнітив
нагнічувати | нагнічую | нагнічував
нагнуздати | нагнуздаю | нагнуздав
нагнуздувати | нагнуздую | нагнуздував
нагнути | нагну | нагнув
наговорити | наговорю | наговорив
наговорювати | наговорюю | наговорював
нагодовувати | нагодовую | нагодовував
нагодувати | нагодую | нагодував
наголосити | наголошу | наголосив
наголосувати | наголосую | наголосував
наголошувати | наголошую | наголошував
нагомоніти | нагомоню | нагомонів
нагонити | нагоню | нагонив
нагоріти | нагорю | нагорів
нагорнути | нагорну | нагорнув
нагороджати | нагороджаю | нагороджав
нагороджувати | нагороджую | нагороджував
нагородити | нагороджу | нагородив
нагортати | нагортаю | нагортав
нагосподарювати | нагосподарюю | нагосподарював
нагострити | нагострю | нагострив
нагострювати | нагострюю | нагострював
наготовити | наготовлю | наготовив
наготовлювати | наготовлюю | наготовлював
наготовляти | наготовляю | наготовляв
наготувати | наготую | наготував
нагофрувати | нагофрую | нагофрував
награбувати | награбую | награбував
награвати | награю | награвав
награвіювати | награвіюю | награвіював
награти | награю | награв
награфити | награфлю | награфив
нагребти | нагребу | нагріб
нагризати | нагризаю | нагризав
нагризти | нагризу | нагриз
нагримати | нагримаю | нагримав
нагриміти | нагримлю | нагримів
нагримувати | нагримую | нагримував
нагрібати | нагрібаю | нагрібав
нагрівати | нагріваю | нагрівав
нагріти | нагрію | нагрів
нагрішити | нагрішу | нагрішив
нагромаджувати | нагромаджую | нагромаджував
нагромадити | нагромаджу | нагромадив
нагрубити | нагрублю | нагрубив
нагрубіянити | нагрубіяню | нагрубіянив
нагрюкати | нагрюкаю | нагрюкав
нагуглити | нагуглю | нагуглив
нагуготіти | нагугочу | нагуготів
нагукати | нагукаю | нагукав
нагукувати | нагукую | нагукував
нагулювати | нагулюю | нагулював
нагуляти | нагуляю | нагуляв
нагусти | нагуду | нагув
наґаздувати | наґаздую | наґаздував
наґрунтувати | наґрунтую | наґрунтував
наґуґлити | наґуґлю | наґуґлив
надавати | надаю | надавав
надавити | надавлю | надавив
надарувати | надарую | надарував
надати | надам | надав
надбавити | надбавлю | надбавив
надбавляти | надбавляю | надбавляв
надбати | надбаю | надбав
надбивати | надбиваю | надбивав
надбирати | надбираю | надбирав
надбити | надіб'ю | надбив
надбігати | надбігаю | надбігав
надбігти | надбіжу | надбіг
надбудовувати | надбудовую | надбудовував
надбудувати | надбудую | надбудував
надвезти | надвезу | надвіз
надвередити | надвереджу | надвередив
надвести | надведу | надвів
надвозити | надвожу | надвозив
надгинати | надгинаю | надгинав
надгнивати | надгниваю | надгнивав
надгнити | надгнию | надгнив
надгонити | надгоню | надгонив
надгоріти | надгорю | надгорів
надгорнути | надгорну | надгорнув
надгородити | надгороджу | надгородив
надгортати | надгортаю | надгортав
надгоряти | надгоряю | надгоряв
надгризати | надгризаю | надгризав
надгризти | надгризу | надгриз
наддавати | наддаю | наддавав
наддати | наддам | наддав
наддерти | наддеру | наддер
наддзюбати | наддзюбаю | наддзюбав
наддовбати | наддовбаю | наддовбав
наддовбувати | наддовбую | наддовбував
наддоїти | наддою | наддоїв
наддоювати | наддоюю | наддоював
надержувати | надержую | надержував
надерибанити | надерибаню | надерибанив
надерти | надеру | надер
надзвонювати | надзвонюю | надзвонював
надзижчати | надзижчу | надзижчав
надзирати | надзираю | надзирав
надзьобати | надзьобаю | надзьобав
надзьобувати | надзьобую | надзьобував
надзюрити | надзюрю | надзюрив
надибати | надибаю | надибав
надибувати | надибую | надибував
надивачити | надивачу | надивачив
надивувати | надивую | надивував
надиктовувати | надиктовую | надиктовував
надиктувати | надиктую | надиктував
надимати | надимаю | надимав
надимити | надимлю | надимив
надиміти | надимлю | надимів
надирати | надираю | надирав
надити | наджу | надив
надихати | надихаю | надихав
надихнути | надихну | надихнув
надихувати | надихую | надихував
надібрати | надберу | надібрав
надівати | надіваю | надівав
надігнати | наджену | надігнав
надігнути | надігну | надігнув
надійти | надійду | надійшов
наділити | наділю | наділив
наділляти | наділляю | наділляв
наділяти | наділяю | наділяв
надірвати | надірву | надірвав
надіслати | надішлю | надіслав
надіти | надіну | надів
над'їдати | над'їдаю | над'їдав
над'їжджати | над'їжджаю | над'їжджав
над'їсти | над'їм | над'їв
над'їхати | над'їду | над'їхав
надклеїти | надклею | надклеїв
надклепати | надклепаю | надклепав
надклепувати | надклепую | надклепував
надклеювати | надклеюю | надклеював
надкльовувати | надкльовую | надкльовував
надклювати | надклюю | надклював
надколоти | надколю | надколов
надколупати | надколупаю | надколупав
надколювати | надколюю | надколював
надкосити | надкошу | надкосив
надкошувати | надкошую | надкошував
надкрутити | надкручу | надкрутив
надкувати | надкую | надкував
надкусити | надкушу | надкусив
надкушувати | надкушую | надкушував
надламати | надламаю | надламав
надламувати | надламую | надламував
надлетіти | надлечу | надлетів
надливати | надливаю | надливав
надлинути | надлину | надлинув
надлити | наділлю | надлив
надлітати | надлітаю | надлітав
надломити | надломлю | надломив
надломлювати | надломлюю | надломлював
надлуплювати | надлуплюю | надлуплював
надмокнути | надмокну | надмокнув
надмочити | надмочу | надмочив
наднавантажити | наднавантажу | наднавантажив
наднавантажувати | наднавантажую | наднавантажував
наднести | наднесу | надніс
надовбати | надовбаю | надовбав
надовбувати | надовбую | надовбував
надоїти | надою | надоїв
надокучати | надокучаю | надокучав
надокучити | надокучу | надокучив
надолужати | надолужаю | надолужав
надолужити | надолужу | надолужив
надолужувати | надолужую | надолужував
надоювати | надоюю | надоював
надпалити | надпалю | надпалив
надпалювати | надпалюю | надпалював
надпивати | надпиваю | надпивав
надпилювати | надпилюю | надпилював
надпиляти | надпиляю | надпиляв
надписати | надпишу | надписав
надписувати | надписую | надписував
надпити | надіп'ю | надпив
надплести | надплету | надплів
надплисти | надпливу | надплив
надплітати | надплітаю | надплітав
надполовинити | надполовиню | надполовинив
надпороти | надпорю | надпоров
надпорювати | надпорюю | надпорював
надрати | надеру | надрав
надресувати | надресую | надресував
надривати | надриваю | надривав
надрібнити | надрібню | надрібнив
надрізати | надрізаю | надрізав
надрізувати | надрізую | надрізував
надробити | надроблю | надробив
надростати | надростаю | надростав
надрости | надросту | надріс
надрочувати | надрочую | надрочував
надрубати | надрубаю | надрубав
надрубувати | надрубую | надрубував
надрукувати | надрукую | надрукував
надряпати | надряпаю | надряпав
надряпувати | надряпую | надряпував
надсаджувати | надсаджую | надсаджував
надсадити | надсаджу | надсадив
надсвердлити | надсвердлю | надсвердлив
надсвердлювати | надсвердлюю | надсвердлював
надсилати | надсилаю | надсилав
надсипати | надсипаю | надсипав
надсихати | надсихаю | надсихав
надсідати | надсідаю | надсідав
надсікати | надсікаю | надсікав
надсікти | надсічу | надсік
надсісти | надсяду | надсів
надскакувати | надскакую | надскакував
надскочити | надскочу | надскочив
надсмикувати | надсмикую | надсмикував
надсмоктати | надсмокчу | надсмоктав
надсмоктувати | надсмоктую | надсмоктував
надсохнути | надсохну | надсох
надставити | надставлю | надставив
надстругати | надстругаю | надстругав
надстругувати | надстругую | надстругував
надтесати | надтешу | надтесав
надтинати | надтинаю | надтинав
надтихнути | надтихну | надтихнув
надтісувати | надтісую | надтісував
надточити | надточу | надточив
надточувати | надточую | надточував
надтріснути | надтрісну | надтріснув
надтягати | надтягаю | надтягав
надтяти | надітну | надтяв
надубити | надублю | надубив
надувати | надуваю | надував
надуживати | надуживаю | надуживав
надужити | надуживу | надужив
надумати | надумаю | надумав
надумувати | надумую | надумував
надурити | надурю | надурив
надуріти | надурію | надурів
надути | надму | надув
надушити | надушу | надушив
надушувати | надушую | надушував
надходити | надходжу | надходив
надцюкати | надцюкаю | надцюкав
надцюкнути | надцюкну | надцюкнув
надшивати | надшиваю | надшивав
надшити | надшию | надшив
надщербити | надщерблю | надщербив
надщерблювати | надщерблюю | надщерблював
надягати | надягаю | надягав
надягнути | надягну | надягнув
надягти | надягну | надяг
наелектризовувати | наелектризовую | наелектризовував
наелектризувати | наелектризую | наелектризував
нажарити | нажарю | нажарив
нажарювати | нажарюю | нажарював
нажахати | нажахаю | нажахав
нажбурляти | нажбурляю | нажбурляв
наждачити | наждачу | наждачив
нажебракувати | нажебракую | нажебракував
нажебрати | нажебраю | нажебрав
нажерти | нажеру | нажер
наживати | наживаю | наживав
наживити | наживлю | наживив
наживлювати | наживлюю | наживлював
наживляти | наживляю | наживляв
нажинати | нажинаю | нажинав
нажирати | нажираю | нажирав
нажити | наживу | нажив
назалізувати | назалізую | назалізував
назамовляти | назамовляю | назамовляв
назапрошувати | назапрошую | назапрошував
назаробляти | назаробляю | назаробляв
назбивати | назбиваю | назбивав
назбирати | назбираю | назбирав
назбирувати | назбирую | назбирував
назбиткувати | назбиткую | назбиткував
назвати | назву | назвав
назводити | назводжу | назводив
назганяти | назганяю | назганяв
назгонити | назгоню | назгонив
назгрібати | назгрібаю | назгрібав
наздавати | наздаю | наздавав
наздоганяти | наздоганяю | наздоганяв
наздогнати | наздожену | наздогнав
назеленити | назеленю | назеленив
називати | називаю | називав
назирати | назираю | назирав
назирити | назирю | назирив
назирнути | назирну | назирнув
назловживати | назловживаю | назловживав
назмітати | назмітаю | назмітав
назнаменувати | назнаменую | назнаменував
назначати | назначаю | назначав
назначити | назначу | назначив
назнімати | назнімаю | назнімав
назнімкувати | назнімкую | назнімкував
назносити | назношу | назносив
назношувати | назношую | назношував
назолити | назолю | назолив
назолювати | назолюю | назолював
назривати | назриваю | назривав
назрівати | назріваю | назрівав
назріти | назрію | назрів
назубити | назублю | назубив
назублювати | назублюю | назублював
назувати | назуваю | назував
назути | назую | назув
наїдати | наїдаю | наїдав
наїжачити | наїжачу | наїжачив
наїжачувати | наїжачую | наїжачував
наїжджати | наїжджаю | наїжджав
наїжити | наїжу | наїжив
наїжувати | наїжую | наїжував
наїздити | наїжджу | наїздив
наїсти | наїм | наїв
наїхати | наїду | наїхав
наймати | наймаю | наймав
найменовувати | найменовую | найменовував
найменувати | найменую | найменував
наймитувати | наймитую | наймитував
наймичкувати | наймичкую | наймичкував
найняти | найму | найняв
найти | найду | найшов
накадити | накаджу | накадив
наказати | накажу | наказав
наказувати | наказую | наказував
накакати | накакаю | накакав
накаламутити | накаламучу | накаламутив
накаляти | накаляю | накаляв
наканіфолити | наканіфолю | наканіфолив
наканіфолювати | наканіфолюю | наканіфолював
накапати | накапаю | накапав
накапостити | накапощу | накапостив
накапувати | накапую | накапував
накарати | накараю | накарав
накарбовувати | накарбовую | накарбовував
накарбувати | накарбую | накарбував
накарлякати | накарлякаю | накарлякав
накатати | накатаю | накатав
накатувати | накатую | накатував
накачати | накачаю | накачав
накачувати | накачую | накачував
наквасити | наквашу | наквасив
наквашувати | наквашую | наквашував
наквецяти | наквецяю | наквецяв
накернувати | накерную | накернував
накеровувати | накеровую | накеровував
накерувати | накерую | накерував
накивати | накиваю | накивав
накивувати | накивую | накивував
накидати | накидаю | накидав
накидувати | накидую | накидував
накинути | накину | накинув
накипати | накипаю | накипав
накипіти | накиплю | накипів
накип'ятити | накип'ячу | накип'ятив
накисати | накисаю | накисав
накиснути | накисну | накис
накладати | накладаю | накладав
накласти | накладу | наклав
наклацати | наклацаю | наклацав
наклеїти | наклею | наклеїв
наклепати | наклепаю | наклепав
наклепувати | наклепую | наклепував
наклеювати | наклеюю | наклеював
накликати | накликаю | накликав
наклонувати | наклоную | наклонував
наклонювати | наклонюю | наклонював
наклопотати | наклопочу | наклопотав
накльовувати | накльовую | накльовував
наклювати | наклюю | наклював
наковзати | наковзаю | наковзав
наковувати | наковую | наковував
накоїти | накою | накоїв
накоксувати | накоксую | накоксував
наколобродити | наколоброджу | наколобродив
наколоти | наколю | наколов
наколотити | наколочу | наколотив
наколошматити | наколошмачу | наколошматив
наколупати | наколупаю | наколупав
наколупувати | наколупую | наколупував
наколювати | наколюю | наколював
наколядувати | наколядую | наколядував
накомпонувати | накомпоную | накомпонував
наконсультувати | наконсультую | наконсультував
накопати | накопаю | накопав
накопичити | накопичу | накопичив
накопичувати | накопичую | накопичував
накопіювати | накопіюю | накопіював
накоптити | накопчу | накоптив
накопувати | накопую | накопував
накопчувати | накопчую | накопчував
накорчовувати | накорчовую | накорчовував
накосити | накошу | накосив
накотити | накочу | накотив
накохати | накохаю | накохав
накочувати | накочую | накочував
накошувати | накошую | накошував
накрадати | накрадаю | накрадав
накрапати | накрапаю | накрапав
накрапити | накраплю | накрапив
накраплювати | накраплюю | накраплював
накрапляти | накрапляю | накрапляв
накрапувати | накрапую | накрапував
накрасити | накрашу | накрасив
накрасти | накраду | накрав
накраювати | накраюю | накраював
накраяти | накраяю | накраяв
накремсати | накремсаю | накремсав
накренити | накреню | накренив
накреслити | накреслю | накреслив
накреслювати | накреслюю | накреслював
накривати | накриваю | накривав
накрити | накрию | накрив
накричати | накричу | накричав
накришити | накришу | накришив
накроїти | накрою | накроїв
накропити | накроплю | накропив
накроплювати | накроплюю | накроплював
накрохмалити | накрохмалю | накрохмалив
накрохмалювати | накрохмалюю | накрохмалював
накроювати | накроюю | накроював
накрутити | накручу | накрутив
накручувати | накручую | накручував
накрякати | накрякаю | накрякав
накрякувати | накрякую | накрякував
накувати | накую | накував
накульгувати | накульгую | накульгував
накупати | накупаю | накупав
накупити | накуплю | накупив
накупляти | накупляю | накупляв
накуповувати | накуповую | накуповував
накупувати | накупую | накупував
накурити | накурю | накурив
накурювати | накурюю | накурював
накутати | накутаю | накутав
накутувати | накутую | накутував
накуховарити | накуховарю | накуховарив
накушувати | накушую | накушував
налагоджувати | налагоджую | налагоджував
налагодити | налагоджу | налагодив
наладжувати | наладжую | наладжував
наладити | наладжу | наладив
наладнати | наладнаю | наладнав
наладнувати | наладную | наладнував
наладовувати | наладовую | наладовував
наладувати | наладую | наладував
налазити | налажу | налазив
налаковувати | налаковую | налаковував
налакувати | налакую | налакував
наламати | наламаю | наламав
наламувати | наламую | наламував
налапати | налапаю | налапав
налапувати | налапую | налапував
налатати | налатаю | налатав
налатувати | налатую | налатував
налаштовувати | налаштовую | налаштовував
налаштувати | налаштую | налаштував
налаяти | налаю | налаяв
належати | належу | належав
налепетати | налепечу | налепетав
налетіти | налечу | налетів
наливати | наливаю | наливав
налигати | налигаю | налигав
налигувати | налигую | налигував
налинути | - | налинув
налипати | налипаю | налипав
налипнути | налипну | налипнув
налити | наллю | налив
налихословити | налихословлю | налихословив
наличкувати | наличкую | наличкував
налізати | налізаю | налізав
налізти | налізу | наліз
налінійовувати | налінійовую | налінійовував
налініювати | налініюю | налініював
наліпити | наліплю | наліпив
наліплювати | наліплюю | наліплював
наліпляти | наліпляю | наліпляв
налітати | налітаю | налітав
налітографувати | налітографую | налітографував
налітувати | налітую | налітував
налічити | налічу | налічив
налічувати | налічую | налічував
налляти | наллю | налляв
наловити | наловлю | наловив
наловлювати | наловлюю | наловлював
наломити | наломлю | наломив
наломлювати | наломлюю | наломлював
налоскотати | налоскочу | налоскотав
налощити | налощу | налощив
налуджувати | налуджую | налуджував
налудити | налуджу | налудив
налужити | налужу | налужив
налужувати | налужую | налужував
налузати | налузаю | налузав
налупати | налупаю | налупав
налупити | налуплю | налупив
налупцювати | налупцюю | налупцював
налускати | налускаю | налускав
налучити | налучу | налучив
налущити | налущу | налущив
налущувати | налущую | налущував
налютовувати | налютовую | налютовував
налютувати | налютую | налютував
налягати | налягаю | налягав
налягти | наляжу | наліг
налякати | налякаю | налякав
наляпати | наляпаю | наляпав
наляскати | наляскаю | наляскав
намагнетизувати | намагнетизую | намагнетизував
намагнетити | намагнечу | намагнетив
намагнетовувати | намагнетовую | намагнетовував
намагнетувати | намагнетую | намагнетував
намагнітити | намагнічу | намагнітив
намагнічувати | намагнічую | намагнічував
намазати | намажу | намазав
намазувати | намазую | намазував
намазюкати | намазюкаю | намазюкав
намалювати | намалюю | намалював
наманити | наманю | наманив
намантачити | намантачу | намантачив
намантачувати | намантачую | намантачував
намаринувати | намариную | намаринував
намаслити | намаслю | намаслив
намаслювати | намаслюю | намаслював
намастити | намащу | намастив
намахлювати | намахлюю | намахлював
намахувати | намахую | намахував
намацати | намацаю | намацав
намацувати | намацую | намацував
намащувати | намащую | намащував
намережати | намережаю | намережав
намережити | намережу | намережив
намерзати | намерзаю | намерзав
намерзнути | намерзну | намерзнув
намерзти | намерзну | намерз
намести | намету | намів
наметати | наметаю | наметав
наметувати | наметую | наметував
намивати | намиваю | намивав
намилити | намилю | намилив
намилювати | намилюю | намилював
наминати | наминаю | наминав
намислити | намислю | намислив
намислювати | намислюю | намислював
намити | намию | намив
намізкувати | намізкую | намізкував
намінювати | намінюю | намінював
наміняти | наміняю | наміняв
намірити | намірю | намірив
намірювати | намірюю | намірював
наміряти | наміряю | наміряв
намісити | намішу | намісив
намісникувати | намісникую | намісникував
намітати | намітаю | намітав
намітити | намічу | намітив
намічати | намічаю | намічав
намічувати | намічую | намічував
намішати | намішаю | намішав
намішувати | намішую | намішував
намліти | намлію | намлів
намножити | намножу | намножив
намножувати | намножую | намножував
намовити | намовлю | намовив
намовляти | намовляю | намовляв
намозолити | намозолю | намозолив
намозолювати | намозолюю | намозолював
намокати | намокаю | намокав
намокнути | намокну | намок
намолоти | намелю | намолов
намолотити | намолочу | намолотив
намолочувати | намолочую | намолочував
намолювати | намолюю | намолював
намоніторити | намоніторю | намоніторив
наморити | наморю | наморив
наморожувати | наморожую | наморожував
наморозити | наморожу | наморозив
наморочити | наморочу | наморочив
наморщити | наморщу | наморщив
наморщувати | наморщую | наморщував
намостити | намощу | намостив
намотати | намотаю | намотав
намотувати | намотую | намотував
намочити | намочу | намочив
намочувати | намочую | намочував
намощувати | намощую | намощував
намріяти | намрію | намріяв
намружити | намружу | намружив
намружувати | намружую | намружував
намугикувати | намугикую | намугикував
намудрити | намудрю | намудрив
намудрувати | намудрую | намудрував
намулити | намулю | намулив
намулювати | намулюю | намулював
намуляти | намуляю | намуляв
намурувати | намурую | намурував
намутити | намучу | намутив
намучити | намучу | намучив
намуштрувати | намуштрую | намуштрував
нам'якати | нам'якаю | нам'якав
нам'якнути | нам'якну | нам'як
нам'яти | намну | нам'яв
нанести | нанесу | наніс
нанизати | нанижу | нанизав
нанизувати | нанизую | нанизував
наносити | наношу | наносив
нанюхати | нанюхаю | нанюхав
наобіцяти | наобіцяю | наобіцяв
наоліїти | наолію | наоліїв
наоліювати | наоліюю | наоліював
наоповідати | наоповідаю | наоповідав
наорати | наорю | наорав
наорювати | наорюю | наорював
нападати | нападаю | нападав
напаковувати | напаковую | напаковував
напакостити | напакощу | напакостив
напакувати | напакую | напакував
напалити | напалю | напалив
напалювати | напалюю | напалював
напарафіновувати | напарафіновую | напарафіновував
напарафінувати | напарафіную | напарафінував
напарити | напарю | напарив
напартачити | напартачу | напартачив
напартолити | напартолю | напартолив
напасати | напасаю | напасав
напаскуджувати | напаскуджую | напаскуджував
напаскудити | напаскуджу | напаскудив
напатрати | напатраю | напатрав
напахати | напахаю | напахав
напахувати | напахую | напахував
напаювати | напаюю | напаював
напаяти | напаяю | напаяв
напекти | напечу | напік
наперти | напру | напер
наперчити | наперчу | наперчив
напивати | напиваю | напивав
напилити | напилю | напилив
напилювати | напилюю | напилював
напиляти | напиляю | напиляв
напинати | напинаю | напинав
напирати | напираю | напирав
напирскати | напирскаю | напирскав
написати | напишу | написав
напитати | напитаю | напитав
напити | нап'ю | напив
напитлювати | напитлюю | напитлював
напитувати | напитую | напитував
напихати | напихаю | напихав
напіввідкривати | напіввідкриваю | напіввідкривав
напіввідкрити | напіввідкрию | напіввідкрив
напіввідтулити | напіввідтулю | напіввідтулив
напіввідтуляти | напіввідтуляю | напіввідтуляв
напіввідчинити | напіввідчинию | напіввідчинив
напіввідчиняти | напіввідчиняю | напіввідчиняв
